iso3,decile,area,income,region
AFG,10,11403.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,20,13967.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,30,23962.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,40,29430.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,50,41917.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,60,55897.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,70,72334.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,80,86118.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,90,111367.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,100,197472.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
ALB,10,2570.0,Emerging Market Economies,Emerging and Developing Europe
ALB,20,2553.0,Emerging Market Economies,Emerging and Developing Europe
ALB,30,949.0,Emerging Market Economies,Emerging and Developing Europe
ALB,40,3094.0,Emerging Market Economies,Emerging and Developing Europe
ALB,50,4021.0,Emerging Market Economies,Emerging and Developing Europe
ALB,60,2746.0,Emerging Market Economies,Emerging and Developing Europe
ALB,70,2660.0,Emerging Market Economies,Emerging and Developing Europe
ALB,80,2978.0,Emerging Market Economies,Emerging and Developing Europe
ALB,90,3499.0,Emerging Market Economies,Emerging and Developing Europe
ALB,100,3660.0,Emerging Market Economies,Emerging and Developing Europe
DZA,10,9482.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,20,11864.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,30,14558.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,40,16742.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,50,19942.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,60,22685.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,70,34792.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,80,45607.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,90,110655.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,100,2021722.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
AGO,10,26553.0,Emerging Market Economies,Sub-Sahara Africa
AGO,20,56382.0,Emerging Market Economies,Sub-Sahara Africa
AGO,30,73180.0,Emerging Market Economies,Sub-Sahara Africa
AGO,40,80465.0,Emerging Market Economies,Sub-Sahara Africa
AGO,50,93997.0,Emerging Market Economies,Sub-Sahara Africa
AGO,60,115822.0,Emerging Market Economies,Sub-Sahara Africa
AGO,70,131806.0,Emerging Market Economies,Sub-Sahara Africa
AGO,80,152037.0,Emerging Market Economies,Sub-Sahara Africa
AGO,90,182804.0,Emerging Market Economies,Sub-Sahara Africa
AGO,100,334375.0,Emerging Market Economies,Sub-Sahara Africa
ARG,10,19927.0,Emerging Market Economies,Latin America and the Caribbean
ARG,20,89603.0,Emerging Market Economies,Latin America and the Caribbean
ARG,30,131147.0,Emerging Market Economies,Latin America and the Caribbean
ARG,40,231849.0,Emerging Market Economies,Latin America and the Caribbean
ARG,50,218496.0,Emerging Market Economies,Latin America and the Caribbean
ARG,60,270024.0,Emerging Market Economies,Latin America and the Caribbean
ARG,70,247968.0,Emerging Market Economies,Latin America and the Caribbean
ARG,80,440927.0,Emerging Market Economies,Latin America and the Caribbean
ARG,90,387299.0,Emerging Market Economies,Latin America and the Caribbean
ARG,100,742582.0,Emerging Market Economies,Latin America and the Caribbean
ARM,10,283.0,Emerging Market Economies,Caucasus and Central Asia
ARM,20,1303.0,Emerging Market Economies,Caucasus and Central Asia
ARM,30,2224.0,Emerging Market Economies,Caucasus and Central Asia
ARM,40,1972.0,Emerging Market Economies,Caucasus and Central Asia
ARM,50,2985.0,Emerging Market Economies,Caucasus and Central Asia
ARM,60,3582.0,Emerging Market Economies,Caucasus and Central Asia
ARM,70,2881.0,Emerging Market Economies,Caucasus and Central Asia
ARM,80,2570.0,Emerging Market Economies,Caucasus and Central Asia
ARM,90,5132.0,Emerging Market Economies,Caucasus and Central Asia
ARM,100,6810.0,Emerging Market Economies,Caucasus and Central Asia
AUS,10,1699.0,Advanced Economies,Advanced Economies
AUS,20,10666.0,Advanced Economies,Advanced Economies
AUS,30,47004.0,Advanced Economies,Advanced Economies
AUS,40,127256.0,Advanced Economies,Advanced Economies
AUS,50,215200.0,Advanced Economies,Advanced Economies
AUS,60,266081.0,Advanced Economies,Advanced Economies
AUS,70,406462.0,Advanced Economies,Advanced Economies
AUS,80,540065.0,Advanced Economies,Advanced Economies
AUS,90,1046892.0,Advanced Economies,Advanced Economies
AUS,100,5032896.0,Advanced Economies,Advanced Economies
AUT,10,3761.0,Advanced Economies,Advanced Economies
AUT,20,4298.0,Advanced Economies,Advanced Economies
AUT,30,5371.0,Advanced Economies,Advanced Economies
AUT,40,5130.0,Advanced Economies,Advanced Economies
AUT,50,6703.0,Advanced Economies,Advanced Economies
AUT,60,7193.0,Advanced Economies,Advanced Economies
AUT,70,7177.0,Advanced Economies,Advanced Economies
AUT,80,10301.0,Advanced Economies,Advanced Economies
AUT,90,13049.0,Advanced Economies,Advanced Economies
AUT,100,20871.0,Advanced Economies,Advanced Economies
AZE,10,2665.0,Emerging Market Economies,Caucasus and Central Asia
AZE,20,4582.0,Emerging Market Economies,Caucasus and Central Asia
AZE,30,8113.0,Emerging Market Economies,Caucasus and Central Asia
AZE,40,7675.0,Emerging Market Economies,Caucasus and Central Asia
AZE,50,7943.0,Emerging Market Economies,Caucasus and Central Asia
AZE,60,10041.0,Emerging Market Economies,Caucasus and Central Asia
AZE,70,11852.0,Emerging Market Economies,Caucasus and Central Asia
AZE,80,11320.0,Emerging Market Economies,Caucasus and Central Asia
AZE,90,11286.0,Emerging Market Economies,Caucasus and Central Asia
AZE,100,11358.0,Emerging Market Economies,Caucasus and Central Asia
BHR,10,32.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,20,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
