iso3,decile,capex,income,region
AFG,10,28286541.42535753,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,20,11702641.211459756,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,30,12145485.564068494,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,40,10619636.513906676,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,50,11313737.318858808,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,60,10199592.453338858,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,70,10275938.022991106,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,80,9141327.293457612,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,90,7722006.221515771,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,100,8375427.905043582,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
ALB,10,3166993.6989954463,Emerging Market Economies,Emerging and Developing Europe
ALB,20,844427.0858912631,Emerging Market Economies,Emerging and Developing Europe
ALB,30,295031.4520190323,Emerging Market Economies,Emerging and Developing Europe
ALB,40,705928.9116226003,Emerging Market Economies,Emerging and Developing Europe
ALB,50,612744.616000903,Emerging Market Economies,Emerging and Developing Europe
ALB,60,301235.47735392663,Emerging Market Economies,Emerging and Developing Europe
ALB,70,236067.97337941322,Emerging Market Economies,Emerging and Developing Europe
ALB,80,187486.65220606554,Emerging Market Economies,Emerging and Developing Europe
ALB,90,249401.06072771293,Emerging Market Economies,Emerging and Developing Europe
ALB,100,163311.83076316502,Emerging Market Economies,Emerging and Developing Europe
DZA,10,52737785.61238348,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,20,12397383.494241001,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,30,8583222.102847168,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,40,6206025.922014063,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,50,10900373.082300104,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,60,8722374.763998594,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,70,8902901.081726462,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,80,7314226.0352586815,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,90,7078858.065061232,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,100,36733992.404049404,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
AGO,10,91721000.2429188,Emerging Market Economies,Sub-Sahara Africa
AGO,20,14427551.41382793,Emerging Market Economies,Sub-Sahara Africa
AGO,30,11262105.509183595,Emerging Market Economies,Sub-Sahara Africa
AGO,40,8258931.450727569,Emerging Market Economies,Sub-Sahara Africa
AGO,50,6517598.739337667,Emerging Market Economies,Sub-Sahara Africa
AGO,60,5168060.89143478,Emerging Market Economies,Sub-Sahara Africa
AGO,70,3882562.7337144464,Emerging Market Economies,Sub-Sahara Africa
AGO,80,6074643.797700965,Emerging Market Economies,Sub-Sahara Africa
AGO,90,4566444.071776311,Emerging Market Economies,Sub-Sahara Africa
AGO,100,6075478.582171049,Emerging Market Economies,Sub-Sahara Africa
ARG,10,66452918.540018246,Emerging Market Economies,Latin America and the Caribbean
ARG,20,13853463.800400235,Emerging Market Economies,Latin America and the Caribbean
ARG,30,7702187.118915242,Emerging Market Economies,Latin America and the Caribbean
ARG,40,8023274.519436967,Emerging Market Economies,Latin America and the Caribbean
ARG,50,4596986.415409409,Emerging Market Economies,Latin America and the Caribbean
ARG,60,3709488.31286389,Emerging Market Economies,Latin America and the Caribbean
ARG,70,4229806.661781263,Emerging Market Economies,Latin America and the Caribbean
ARG,80,9624549.04132072,Emerging Market Economies,Latin America and the Caribbean
ARG,90,7152449.633670855,Emerging Market Economies,Latin America and the Caribbean
ARG,100,13492459.174596613,Emerging Market Economies,Latin America and the Caribbean
ARM,10,206252.15400788648,Emerging Market Economies,Caucasus and Central Asia
ARM,20,123797.67667847076,Emerging Market Economies,Caucasus and Central Asia
ARM,30,92743.87574975677,Emerging Market Economies,Caucasus and Central Asia
ARM,40,20529.63338212507,Emerging Market Economies,Caucasus and Central Asia
ARM,50,23728.61000886658,Emerging Market Economies,Caucasus and Central Asia
ARM,60,25950.552902008752,Emerging Market Economies,Caucasus and Central Asia
ARM,70,9850.01151222896,Emerging Market Economies,Caucasus and Central Asia
ARM,80,10477.813725327607,Emerging Market Economies,Caucasus and Central Asia
ARM,90,18922.74934189942,Emerging Market Economies,Caucasus and Central Asia
ARM,100,633994.3092053535,Emerging Market Economies,Caucasus and Central Asia
AUS,10,8961420.204582334,Advanced Economies,Advanced Economies
AUS,20,3060546.500143992,Advanced Economies,Advanced Economies
AUS,30,3571638.892666956,Advanced Economies,Advanced Economies
AUS,40,1087426.7052862819,Advanced Economies,Advanced Economies
AUS,50,1087912.173234722,Advanced Economies,Advanced Economies
AUS,60,596175.0043216086,Advanced Economies,Advanced Economies
AUS,70,3135165.8408732647,Advanced Economies,Advanced Economies
AUS,80,7258565.763062753,Advanced Economies,Advanced Economies
AUS,90,17197086.45123204,Advanced Economies,Advanced Economies
AUS,100,91445986.8539644,Advanced Economies,Advanced Economies
AUT,10,21613829.32081079,Advanced Economies,Advanced Economies
AUT,20,3948970.790624212,Advanced Economies,Advanced Economies
AUT,30,3158596.972174313,Advanced Economies,Advanced Economies
AUT,40,2094535.897515005,Advanced Economies,Advanced Economies
AUT,50,2262094.309640108,Advanced Economies,Advanced Economies
AUT,60,1830410.5064021733,Advanced Economies,Advanced Economies
AUT,70,1426116.5116887367,Advanced Economies,Advanced Economies
AUT,80,1576598.3526321512,Advanced Economies,Advanced Economies
AUT,90,1331982.4586954147,Advanced Economies,Advanced Economies
AUT,100,931279.0218191303,Advanced Economies,Advanced Economies
AZE,10,13654675.629918972,Emerging Market Economies,Caucasus and Central Asia
AZE,20,4132695.927289339,Emerging Market Economies,Caucasus and Central Asia
AZE,30,4593471.590857605,Emerging Market Economies,Caucasus and Central Asia
AZE,40,2959849.957153098,Emerging Market Economies,Caucasus and Central Asia
AZE,50,2509457.1460017734,Emerging Market Economies,Caucasus and Central Asia
AZE,60,2815852.942110025,Emerging Market Economies,Caucasus and Central Asia
AZE,70,2957076.448418689,Emerging Market Economies,Caucasus and Central Asia
AZE,80,2403795.0353471306,Emerging Market Economies,Caucasus and Central Asia
AZE,90,2059369.9201814472,Emerging Market Economies,Caucasus and Central Asia
AZE,100,1387381.285544339,Emerging Market Economies,Caucasus and Central Asia
BHR,10,863384.6950425789,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,20,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,30,392334.0534050574,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,40,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,50,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,60,1104106.0563889204,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,70,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,80,712140.8093821876,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,90,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,100,1028966.4797557327,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BGD,10,206535483.7715828,Low Income Developing Countries,Emerging and Developing Asia
