iso3,decile,opex,income,region
AFG,10,10325853.790407613,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,20,4271987.879112184,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,30,4433645.890538293,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,40,3876642.686743323,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,50,4130020.5500870165,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,60,3723307.802505259,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,70,3751177.35283027,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,80,3336993.6487847865,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,90,2818877.925475541,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,100,3057406.0886090402,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
ALB,10,1156094.4619992832,Emerging Market Economies,Emerging and Developing Europe
ALB,20,308253.68483389774,Emerging Market Economies,Emerging and Developing Europe
ALB,30,107699.68626808465,Emerging Market Economies,Emerging and Developing Europe
ALB,40,257695.6517314634,Emerging Market Economies,Emerging and Developing Europe
ALB,50,223679.21268779886,Emerging Market Economies,Emerging and Developing Europe
ALB,60,109964.43322165443,Emerging Market Economies,Emerging and Developing Europe
ALB,70,86175.37722474839,Emerging Market Economies,Emerging and Developing Europe
ALB,80,68441.02038566441,Emerging Market Economies,Emerging and Developing Europe
ALB,90,91042.55092629738,Emerging Market Economies,Emerging and Developing Europe
ALB,100,59616.12843882413,Emerging Market Economies,Emerging and Developing Europe
DZA,10,19251652.412166573,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,20,4525599.910577515,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,30,3133260.2721498883,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,40,2265477.2574193147,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,50,3979124.1006164467,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,60,3184057.222260858,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,70,3249957.4090015236,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,80,2670019.9043198964,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,90,2584100.0595903047,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,100,13409551.524815433,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
AGO,10,33482270.729969583,Emerging Market Economies,Sub-Sahara Africa
AGO,20,5266702.076176243,Emerging Market Economies,Sub-Sahara Africa
AGO,30,4111172.628397924,Emerging Market Economies,Sub-Sahara Africa
AGO,40,3014879.668136522,Emerging Market Economies,Sub-Sahara Africa
AGO,50,2379215.282452831,Emerging Market Economies,Sub-Sahara Africa
