iso3,year,gdp,income,region
ABW,2021.0,2.82,Emerging Market Economies,Latin America and the Caribbean
ABW,2022.0,3.03,Emerging Market Economies,Latin America and the Caribbean
ABW,2023.0,3.21,Emerging Market Economies,Latin America and the Caribbean
ABW,2024.0,3.3,Emerging Market Economies,Latin America and the Caribbean
ABW,2025.0,3.35,Emerging Market Economies,Latin America and the Caribbean
ABW,2026.0,3.39,Emerging Market Economies,Latin America and the Caribbean
ABW,2027.0,3.44,Emerging Market Economies,Latin America and the Caribbean
ABW,2028.0,3.49,Emerging Market Economies,Latin America and the Caribbean
ABW,2029.0,3.54,Emerging Market Economies,Latin America and the Caribbean
ABW,2030.0,3.59,Emerging Market Economies,Latin America and the Caribbean
ABW,Mean 10-Year GDP ($Bn),3.3159999999999994,Emerging Market Economies,Latin America and the Caribbean
ABW,GDP Growth Rate (%),0.2730496453900709,Emerging Market Economies,Latin America and the Caribbean
AFG,2021.0,20.14,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,2022.0,20.14,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,2023.0,20.14,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,2024.0,20.14,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,2025.0,20.14,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,2026.0,20.14,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,2027.0,20.14,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,2028.0,20.14,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,2029.0,20.14,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,2030.0,20.14,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,Mean 10-Year GDP ($Bn),20.139999999999997,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,GDP Growth Rate (%),0.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AGO,2021.0,57.99,Emerging Market Economies,Sub-Sahara Africa
AGO,2022.0,59.36,Emerging Market Economies,Sub-Sahara Africa
AGO,2023.0,61.34,Emerging Market Economies,Sub-Sahara Africa
AGO,2024.0,63.58,Emerging Market Economies,Sub-Sahara Africa
AGO,2025.0,66.01,Emerging Market Economies,Sub-Sahara Africa
AGO,2026.0,68.42,Emerging Market Economies,Sub-Sahara Africa
AGO,2027.0,70.92,Emerging Market Economies,Sub-Sahara Africa
AGO,2028.0,73.51,Emerging Market Economies,Sub-Sahara Africa
AGO,2029.0,76.2,Emerging Market Economies,Sub-Sahara Africa
AGO,2030.0,78.98,Emerging Market Economies,Sub-Sahara Africa
AGO,Mean 10-Year GDP ($Bn),67.631,Emerging Market Economies,Sub-Sahara Africa
AGO,GDP Growth Rate (%),0.36195895844111053,Emerging Market Economies,Sub-Sahara Africa
ALB,2021.0,15.61,Emerging Market Economies,Emerging and Developing Europe
ALB,2022.0,16.32,Emerging Market Economies,Emerging and Developing Europe
ALB,2023.0,16.99,Emerging Market Economies,Emerging and Developing Europe
ALB,2024.0,17.61,Emerging Market Economies,Emerging and Developing Europe
ALB,2025.0,18.23,Emerging Market Economies,Emerging and Developing Europe
ALB,2026.0,18.86,Emerging Market Economies,Emerging and Developing Europe
ALB,2027.0,19.52,Emerging Market Economies,Emerging and Developing Europe
ALB,2028.0,20.2,Emerging Market Economies,Emerging and Developing Europe
ALB,2029.0,20.9,Emerging Market Economies,Emerging and Developing Europe
ALB,2030.0,21.63,Emerging Market Economies,Emerging and Developing Europe
ALB,Mean 10-Year GDP ($Bn),18.587,Emerging Market Economies,Emerging and Developing Europe
ALB,GDP Growth Rate (%),0.38565022421524664,Emerging Market Economies,Emerging and Developing Europe
AND,2021.0,3.02,Advanced Economies,Advanced Economies
AND,2022.0,3.16,Advanced Economies,Advanced Economies
AND,2023.0,3.25,Advanced Economies,Advanced Economies
AND,2024.0,3.32,Advanced Economies,Advanced Economies
AND,2025.0,3.37,Advanced Economies,Advanced Economies
AND,2026.0,3.42,Advanced Economies,Advanced Economies
AND,2027.0,3.47,Advanced Economies,Advanced Economies
