iso3,decile,capex,income,region
AFG,10,21214906.069018148,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,20,8776980.908594817,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,30,9109114.17305137,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,40,7964727.385430006,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,50,8485302.989144105,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,60,7649694.340004143,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,70,7706953.517243329,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,80,6855995.470093208,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,90,5791504.666136828,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,100,3140785.4643913433,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
ALB,10,2375245.274246585,Emerging Market Economies,Emerging and Developing Europe
ALB,20,633320.3144184473,Emerging Market Economies,Emerging and Developing Europe
ALB,30,221273.5890142742,Emerging Market Economies,Emerging and Developing Europe
ALB,40,529446.6837169502,Emerging Market Economies,Emerging and Developing Europe
ALB,50,459558.46200067725,Emerging Market Economies,Emerging and Developing Europe
ALB,60,225926.60801544497,Emerging Market Economies,Emerging and Developing Europe
ALB,70,177050.98003455994,Emerging Market Economies,Emerging and Developing Europe
ALB,80,140614.98915454917,Emerging Market Economies,Emerging and Developing Europe
ALB,90,187050.7955457847,Emerging Market Economies,Emerging and Developing Europe
ALB,100,122483.87307237377,Emerging Market Economies,Emerging and Developing Europe
DZA,10,39553339.209287606,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,20,9298037.620680751,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,30,6437416.577135377,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,40,4654519.441510547,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,50,8175279.811725078,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,60,6541781.072998946,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,70,6677175.811294846,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,80,5485669.52644401,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,90,5309143.5487959245,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,100,9183498.101012351,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
AGO,10,68790750.18218909,Emerging Market Economies,Sub-Sahara Africa
AGO,20,10820663.560370948,Emerging Market Economies,Sub-Sahara Africa
AGO,30,8446579.131887697,Emerging Market Economies,Sub-Sahara Africa
AGO,40,6194198.588045676,Emerging Market Economies,Sub-Sahara Africa
AGO,50,4888199.05450325,Emerging Market Economies,Sub-Sahara Africa
AGO,60,3876045.6685760855,Emerging Market Economies,Sub-Sahara Africa
AGO,70,2911922.050285835,Emerging Market Economies,Sub-Sahara Africa
AGO,80,2277991.424137862,Emerging Market Economies,Sub-Sahara Africa
AGO,90,1712416.5269161167,Emerging Market Economies,Sub-Sahara Africa
AGO,100,1518869.6455427625,Emerging Market Economies,Sub-Sahara Africa
ARG,10,49839688.90501368,Emerging Market Economies,Latin America and the Caribbean
ARG,20,10390097.850300176,Emerging Market Economies,Latin America and the Caribbean
ARG,30,5776640.339186432,Emerging Market Economies,Latin America and the Caribbean
ARG,40,6017455.889577725,Emerging Market Economies,Latin America and the Caribbean
ARG,50,3447739.811557057,Emerging Market Economies,Latin America and the Caribbean
ARG,60,2782116.2346479176,Emerging Market Economies,Latin America and the Caribbean
ARG,70,1586177.4981679732,Emerging Market Economies,Latin America and the Caribbean
ARG,80,3609205.8904952705,Emerging Market Economies,Latin America and the Caribbean
ARG,90,1788112.4084177138,Emerging Market Economies,Latin America and the Caribbean
ARG,100,3373114.7936491533,Emerging Market Economies,Latin America and the Caribbean
ARM,10,154689.11550591484,Emerging Market Economies,Caucasus and Central Asia
ARM,20,92848.25750885307,Emerging Market Economies,Caucasus and Central Asia
ARM,30,69557.90681231758,Emerging Market Economies,Caucasus and Central Asia
ARM,40,15397.225036593802,Emerging Market Economies,Caucasus and Central Asia
ARM,50,17796.457506649935,Emerging Market Economies,Caucasus and Central Asia
ARM,60,19462.914676506563,Emerging Market Economies,Caucasus and Central Asia
ARM,70,7387.50863417172,Emerging Market Economies,Caucasus and Central Asia
ARM,80,7858.360293995705,Emerging Market Economies,Caucasus and Central Asia
ARM,90,14192.062006424563,Emerging Market Economies,Caucasus and Central Asia
ARM,100,475495.7319040151,Emerging Market Economies,Caucasus and Central Asia
AUS,10,6721065.153436751,Advanced Economies,Advanced Economies
AUS,20,2295409.875107994,Advanced Economies,Advanced Economies
AUS,30,2678729.169500217,Advanced Economies,Advanced Economies
AUS,40,815570.0289647115,Advanced Economies,Advanced Economies
AUS,50,407967.0649630208,Advanced Economies,Advanced Economies
AUS,60,223565.6266206032,Advanced Economies,Advanced Economies
AUS,70,783791.4602183162,Advanced Economies,Advanced Economies
AUS,80,1814641.4407656882,Advanced Economies,Advanced Economies
AUS,90,4299271.61280801,Advanced Economies,Advanced Economies
AUS,100,22861496.7134911,Advanced Economies,Advanced Economies
AUT,10,16210371.990608094,Advanced Economies,Advanced Economies
AUT,20,2961728.092968159,Advanced Economies,Advanced Economies
AUT,30,2368947.7291307347,Advanced Economies,Advanced Economies
AUT,40,1570901.9231362536,Advanced Economies,Advanced Economies
AUT,50,1696570.732230081,Advanced Economies,Advanced Economies
AUT,60,1372807.8798016298,Advanced Economies,Advanced Economies
AUT,70,1069587.3837665524,Advanced Economies,Advanced Economies
AUT,80,1182448.7644741135,Advanced Economies,Advanced Economies
AUT,90,998986.844021561,Advanced Economies,Advanced Economies
AUT,100,698459.2663643478,Advanced Economies,Advanced Economies
AZE,10,10241006.72243923,Emerging Market Economies,Caucasus and Central Asia
AZE,20,3099521.945467004,Emerging Market Economies,Caucasus and Central Asia
AZE,30,3445103.6931432043,Emerging Market Economies,Caucasus and Central Asia
AZE,40,2219887.4678648235,Emerging Market Economies,Caucasus and Central Asia
AZE,50,1882092.85950133,Emerging Market Economies,Caucasus and Central Asia
AZE,60,2111889.7065825183,Emerging Market Economies,Caucasus and Central Asia
AZE,70,2217807.336314017,Emerging Market Economies,Caucasus and Central Asia
AZE,80,1802846.2765103478,Emerging Market Economies,Caucasus and Central Asia
AZE,90,1544527.4401360853,Emerging Market Economies,Caucasus and Central Asia
AZE,100,1040535.9641582542,Emerging Market Economies,Caucasus and Central Asia
BHR,10,647538.5212819341,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,20,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,30,294250.54005379305,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,40,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,50,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,60,828079.5422916902,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,70,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,80,534105.6070366406,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,90,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,100,771724.8598167995,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BGD,10,154901612.8286871,Low Income Developing Countries,Emerging and Developing Asia
BGD,20,79924850.37314163,Low Income Developing Countries,Emerging and Developing Asia
BGD,30,55476481.36780917,Low Income Developing Countries,Emerging and Developing Asia
BGD,40,46011672.93627632,Low Income Developing Countries,Emerging and Developing Asia
BGD,50,49155208.50494158,Low Income Developing Countries,Emerging and Developing Asia
BGD,60,42290240.15098993,Low Income Developing Countries,Emerging and Developing Asia
BGD,70,38313683.21997445,Low Income Developing Countries,Emerging and Developing Asia
BGD,80,34680375.28603396,Low Income Developing Countries,Emerging and Developing Asia
BGD,90,28703667.474882804,Low Income Developing Countries,Emerging and Developing Asia
BGD,100,22908403.347712204,Low Income Developing Countries,Emerging and Developing Asia
BRB,10,315618.14715699543,Emerging Market Economies,Latin America and the Caribbean
BRB,20,166276.87752661217,Emerging Market Economies,Latin America and the Caribbean
BRB,30,91452.2826396367,Emerging Market Economies,Latin America and the Caribbean
BRB,40,119319.05563252262,Emerging Market Economies,Latin America and the Caribbean
BRB,50,55753.58812529403,Emerging Market Economies,Latin America and the Caribbean
BRB,60,70511.89086434247,Emerging Market Economies,Latin America and the Caribbean
BRB,70,32603.309318943553,Emerging Market Economies,Latin America and the Caribbean
BRB,80,29936.680624647248,Emerging Market Economies,Latin America and the Caribbean
BRB,90,30792.014356780026,Emerging Market Economies,Latin America and the Caribbean
BRB,100,33209.569202973435,Emerging Market Economies,Latin America and the Caribbean
BLR,10,16449632.92964312,Emerging Market Economies,Emerging and Developing Europe
BLR,20,3962223.3536333446,Emerging Market Economies,Emerging and Developing Europe
BLR,30,1915377.3374893153,Emerging Market Economies,Emerging and Developing Europe
BLR,40,1267311.854316233,Emerging Market Economies,Emerging and Developing Europe
BLR,50,1127203.9597982003,Emerging Market Economies,Emerging and Developing Europe
BLR,60,902384.1562738837,Emerging Market Economies,Emerging and Developing Europe
BLR,70,643362.5962201102,Emerging Market Economies,Emerging and Developing Europe
BLR,80,676568.9821170052,Emerging Market Economies,Emerging and Developing Europe
BLR,90,596551.506965642,Emerging Market Economies,Emerging and Developing Europe
BLR,100,558195.6004240123,Emerging Market Economies,Emerging and Developing Europe
BEL,10,0.0,Advanced Economies,Advanced Economies
BEL,20,0.0,Advanced Economies,Advanced Economies
BEL,30,0.0,Advanced Economies,Advanced Economies
BEL,40,0.0,Advanced Economies,Advanced Economies
BEL,50,0.0,Advanced Economies,Advanced Economies
BEL,60,0.0,Advanced Economies,Advanced Economies
BEL,70,0.0,Advanced Economies,Advanced Economies
BEL,80,0.0,Advanced Economies,Advanced Economies
BEL,90,0.0,Advanced Economies,Advanced Economies
BEL,100,1039276.0348584173,Advanced Economies,Advanced Economies
BLZ,10,393921.27741583827,Emerging Market Economies,Latin America and the Caribbean
BLZ,20,0.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,30,164102.03132828278,Emerging Market Economies,Latin America and the Caribbean
BLZ,40,0.0,Emerging Market Economies,Latin America and the Caribbean
BLZ,50,142360.76319015532,Emerging Market Economies,Latin America and the Caribbean
