iso3,decile,population,income,region
AFG,10,9469741.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,20,2665061.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,30,2915517.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,40,2540871.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,50,2660109.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,60,2500780.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,70,2528815.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,80,2186660.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,90,1893471.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,100,1028675.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
ALB,10,1326086.0,Emerging Market Economies,Emerging and Developing Europe
ALB,20,359589.0,Emerging Market Economies,Emerging and Developing Europe
ALB,30,120974.0,Emerging Market Economies,Emerging and Developing Europe
ALB,40,305196.0,Emerging Market Economies,Emerging and Developing Europe
ALB,50,255557.0,Emerging Market Economies,Emerging and Developing Europe
ALB,60,133861.0,Emerging Market Economies,Emerging and Developing Europe
ALB,70,103038.0,Emerging Market Economies,Emerging and Developing Europe
ALB,80,81767.0,Emerging Market Economies,Emerging and Developing Europe
ALB,90,61259.0,Emerging Market Economies,Emerging and Developing Europe
ALB,100,40289.0,Emerging Market Economies,Emerging and Developing Europe
DZA,10,18583179.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,20,5644390.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,30,4180520.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,40,3260085.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,50,2683755.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,60,2055684.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,70,2128004.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,80,1763772.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,90,1739151.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,100,1956872.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
AGO,10,22367436.0,Emerging Market Economies,Sub-Sahara Africa
AGO,20,3496433.0,Emerging Market Economies,Sub-Sahara Africa
AGO,30,2735637.0,Emerging Market Economies,Sub-Sahara Africa
AGO,40,2025377.0,Emerging Market Economies,Sub-Sahara Africa
AGO,50,1569076.0,Emerging Market Economies,Sub-Sahara Africa
AGO,60,1251701.0,Emerging Market Economies,Sub-Sahara Africa
AGO,70,951178.0,Emerging Market Economies,Sub-Sahara Africa
AGO,80,746529.0,Emerging Market Economies,Sub-Sahara Africa
AGO,90,556729.0,Emerging Market Economies,Sub-Sahara Africa
AGO,100,371660.0,Emerging Market Economies,Sub-Sahara Africa
