iso3,decile,capex,income,region
AFG,10,2828654.142535753,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,20,1170264.1211459755,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,30,1214548.5564068495,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,40,1061963.6513906675,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,50,1131373.7318858807,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,60,1019959.2453338858,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,70,1027593.8022991106,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,80,914132.7293457611,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,90,772200.6221515771,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,100,418771.3952521791,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
ALB,10,316699.36989954463,Emerging Market Economies,Emerging and Developing Europe
ALB,20,84442.70858912631,Emerging Market Economies,Emerging and Developing Europe
ALB,30,29503.14520190323,Emerging Market Economies,Emerging and Developing Europe
ALB,40,70592.89116226003,Emerging Market Economies,Emerging and Developing Europe
ALB,50,61274.4616000903,Emerging Market Economies,Emerging and Developing Europe
ALB,60,30123.54773539266,Emerging Market Economies,Emerging and Developing Europe
ALB,70,23606.797337941323,Emerging Market Economies,Emerging and Developing Europe
ALB,80,18748.665220606556,Emerging Market Economies,Emerging and Developing Europe
ALB,90,24940.106072771294,Emerging Market Economies,Emerging and Developing Europe
ALB,100,16331.183076316504,Emerging Market Economies,Emerging and Developing Europe
DZA,10,5273778.561238348,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,20,1239738.3494241,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,30,858322.2102847169,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,40,620602.5922014063,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,50,1090037.3082300106,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,60,872237.4763998594,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,70,890290.1081726461,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,80,731422.6035258682,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,90,707885.8065061233,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,100,1224466.4134683134,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
AGO,10,9172100.02429188,Emerging Market Economies,Sub-Sahara Africa
AGO,20,1442755.141382793,Emerging Market Economies,Sub-Sahara Africa
AGO,30,1126210.5509183595,Emerging Market Economies,Sub-Sahara Africa
AGO,40,825893.1450727568,Emerging Market Economies,Sub-Sahara Africa
AGO,50,651759.8739337667,Emerging Market Economies,Sub-Sahara Africa
AGO,60,516806.0891434781,Emerging Market Economies,Sub-Sahara Africa
AGO,70,388256.27337144467,Emerging Market Economies,Sub-Sahara Africa
AGO,80,303732.18988504825,Emerging Market Economies,Sub-Sahara Africa
AGO,90,228322.20358881558,Emerging Market Economies,Sub-Sahara Africa
AGO,100,202515.95273903498,Emerging Market Economies,Sub-Sahara Africa
ARG,10,6645291.854001825,Emerging Market Economies,Latin America and the Caribbean
ARG,20,1385346.3800400235,Emerging Market Economies,Latin America and the Caribbean
ARG,30,770218.7118915243,Emerging Market Economies,Latin America and the Caribbean
ARG,40,802327.4519436967,Emerging Market Economies,Latin America and the Caribbean
ARG,50,459698.6415409409,Emerging Market Economies,Latin America and the Caribbean
ARG,60,370948.83128638903,Emerging Market Economies,Latin America and the Caribbean
ARG,70,211490.33308906312,Emerging Market Economies,Latin America and the Caribbean
ARG,80,481227.45206603606,Emerging Market Economies,Latin America and the Caribbean
ARG,90,238414.98778902853,Emerging Market Economies,Latin America and the Caribbean
ARG,100,449748.63915322046,Emerging Market Economies,Latin America and the Caribbean
ARM,10,20625.21540078865,Emerging Market Economies,Caucasus and Central Asia
ARM,20,12379.767667847076,Emerging Market Economies,Caucasus and Central Asia
ARM,30,9274.387574975677,Emerging Market Economies,Caucasus and Central Asia
ARM,40,2052.963338212507,Emerging Market Economies,Caucasus and Central Asia
ARM,50,2372.861000886658,Emerging Market Economies,Caucasus and Central Asia
ARM,60,2595.0552902008753,Emerging Market Economies,Caucasus and Central Asia
ARM,70,985.0011512228959,Emerging Market Economies,Caucasus and Central Asia
ARM,80,1047.7813725327608,Emerging Market Economies,Caucasus and Central Asia
ARM,90,1892.2749341899419,Emerging Market Economies,Caucasus and Central Asia
ARM,100,63399.43092053535,Emerging Market Economies,Caucasus and Central Asia
AUS,10,896142.0204582334,Advanced Economies,Advanced Economies
AUS,20,306054.65001439914,Advanced Economies,Advanced Economies
AUS,30,357163.8892666956,Advanced Economies,Advanced Economies
AUS,40,108742.6705286282,Advanced Economies,Advanced Economies
AUS,50,54395.60866173611,Advanced Economies,Advanced Economies
AUS,60,29808.750216080425,Advanced Economies,Advanced Economies
AUS,70,104505.52802910883,Advanced Economies,Advanced Economies
AUS,80,241952.19210209177,Advanced Economies,Advanced Economies
AUS,90,573236.2150410679,Advanced Economies,Advanced Economies
AUS,100,3048199.5617988138,Advanced Economies,Advanced Economies
AUT,10,2161382.932081079,Advanced Economies,Advanced Economies
AUT,20,394897.0790624212,Advanced Economies,Advanced Economies
