iso3,decile,opex,income,region
AFG,10,7744390.342805708,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,20,933713.5491204663,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,30,1021461.6947195784,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,40,890203.1432928811,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,50,931978.5984025488,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,60,876157.1196192057,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,70,885979.2810442509,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,80,766104.0664058941,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,90,2114158.4441066557,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,100,1146527.2832283902,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
ALB,10,867070.8464994626,Emerging Market Economies,Emerging and Developing Europe
ALB,20,231190.26362542334,Emerging Market Economies,Emerging and Developing Europe
ALB,30,80774.76470106348,Emerging Market Economies,Emerging and Developing Europe
ALB,40,193271.7387985976,Emerging Market Economies,Emerging and Developing Europe
ALB,50,167759.40951584917,Emerging Market Economies,Emerging and Developing Europe
ALB,60,82473.32491624082,Emerging Market Economies,Emerging and Developing Europe
ALB,70,64631.5329185613,Emerging Market Economies,Emerging and Developing Europe
ALB,80,51330.76528924831,Emerging Market Economies,Emerging and Developing Europe
ALB,90,31012.91647138929,Emerging Market Economies,Emerging and Developing Europe
ALB,100,44712.0963291181,Emerging Market Economies,Emerging and Developing Europe
DZA,10,14438739.309124928,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,20,3394199.932933136,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,30,2349945.204112416,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,40,1699107.9430644857,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,50,1762884.9016857818,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,60,1350322.3231021594,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,70,1397827.3435268688,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,80,1158573.35293875,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,90,1938075.0446927284,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,100,3352387.881203858,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
AGO,10,1867590.926748059,Emerging Market Economies,Sub-Sahara Africa
AGO,20,3950026.557132183,Emerging Market Economies,Sub-Sahara Africa
AGO,30,3083379.4712984427,Emerging Market Economies,Sub-Sahara Africa
AGO,40,2261159.7511023916,Emerging Market Economies,Sub-Sahara Africa
AGO,50,1784411.461839623,Emerging Market Economies,Sub-Sahara Africa
AGO,60,1414930.1696806327,Emerging Market Economies,Sub-Sahara Africa
AGO,70,1062981.8926311329,Emerging Market Economies,Sub-Sahara Africa
AGO,80,831568.8379054868,Emerging Market Economies,Sub-Sahara Africa
AGO,90,625108.6839963478,Emerging Market Economies,Sub-Sahara Africa
AGO,100,554455.4086949343,Emerging Market Economies,Sub-Sahara Africa
ARG,10,18193717.388553694,Emerging Market Economies,Latin America and the Caribbean
ARG,20,3792850.799852495,Emerging Market Economies,Latin America and the Caribbean
ARG,30,2108732.299408562,Emerging Market Economies,Latin America and the Caribbean
ARG,40,2196640.754755029,Emerging Market Economies,Latin America and the Caribbean
ARG,50,1258579.3599210116,Emerging Market Economies,Latin America and the Caribbean
ARG,60,1015596.9595187313,Emerging Market Economies,Latin America and the Caribbean
