iso3,decile,capex,income,region
AFG,10,42429812.138036296,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,20,17553961.817189634,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,30,18218228.34610274,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,40,15929454.770860013,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,50,16970605.97828821,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,60,15299388.680008287,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,70,15413907.034486659,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,80,13711990.940186417,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,90,11583009.332273657,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,100,6281570.928782687,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
ALB,10,4750490.54849317,Emerging Market Economies,Emerging and Developing Europe
ALB,20,1266640.6288368946,Emerging Market Economies,Emerging and Developing Europe
ALB,30,442547.1780285484,Emerging Market Economies,Emerging and Developing Europe
ALB,40,1058893.3674339005,Emerging Market Economies,Emerging and Developing Europe
ALB,50,919116.9240013545,Emerging Market Economies,Emerging and Developing Europe
ALB,60,451853.21603088995,Emerging Market Economies,Emerging and Developing Europe
ALB,70,354101.9600691199,Emerging Market Economies,Emerging and Developing Europe
ALB,80,281229.97830909834,Emerging Market Economies,Emerging and Developing Europe
ALB,90,374101.5910915694,Emerging Market Economies,Emerging and Developing Europe
ALB,100,244967.74614474754,Emerging Market Economies,Emerging and Developing Europe
DZA,10,79106678.41857521,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,20,18596075.241361503,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,30,12874833.154270753,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,40,9309038.883021094,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,50,16350559.623450156,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,60,13083562.145997891,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,70,13354351.622589692,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,80,10971339.05288802,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,90,10618287.097591849,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,100,18366996.202024702,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
AGO,10,137581500.36437818,Emerging Market Economies,Sub-Sahara Africa
AGO,20,21641327.120741896,Emerging Market Economies,Sub-Sahara Africa
AGO,30,16893158.263775393,Emerging Market Economies,Sub-Sahara Africa
AGO,40,12388397.176091352,Emerging Market Economies,Sub-Sahara Africa
AGO,50,9776398.1090065,Emerging Market Economies,Sub-Sahara Africa
AGO,60,7752091.337152171,Emerging Market Economies,Sub-Sahara Africa
AGO,70,5823844.10057167,Emerging Market Economies,Sub-Sahara Africa
AGO,80,4555982.848275724,Emerging Market Economies,Sub-Sahara Africa
AGO,90,3424833.0538322334,Emerging Market Economies,Sub-Sahara Africa
AGO,100,3037739.291085525,Emerging Market Economies,Sub-Sahara Africa
ARG,10,99679377.81002736,Emerging Market Economies,Latin America and the Caribbean
ARG,20,20780195.700600352,Emerging Market Economies,Latin America and the Caribbean
ARG,30,11553280.678372864,Emerging Market Economies,Latin America and the Caribbean
ARG,40,12034911.77915545,Emerging Market Economies,Latin America and the Caribbean
ARG,50,6895479.623114114,Emerging Market Economies,Latin America and the Caribbean
ARG,60,5564232.469295835,Emerging Market Economies,Latin America and the Caribbean
ARG,70,3172354.9963359465,Emerging Market Economies,Latin America and the Caribbean
ARG,80,7218411.780990541,Emerging Market Economies,Latin America and the Caribbean
ARG,90,3576224.8168354277,Emerging Market Economies,Latin America and the Caribbean
ARG,100,6746229.587298307,Emerging Market Economies,Latin America and the Caribbean
ARM,10,309378.2310118297,Emerging Market Economies,Caucasus and Central Asia
ARM,20,185696.51501770614,Emerging Market Economies,Caucasus and Central Asia
ARM,30,139115.81362463516,Emerging Market Economies,Caucasus and Central Asia
ARM,40,30794.450073187603,Emerging Market Economies,Caucasus and Central Asia
ARM,50,35592.91501329987,Emerging Market Economies,Caucasus and Central Asia
ARM,60,38925.82935301313,Emerging Market Economies,Caucasus and Central Asia
ARM,70,14775.01726834344,Emerging Market Economies,Caucasus and Central Asia
ARM,80,15716.72058799141,Emerging Market Economies,Caucasus and Central Asia
ARM,90,28384.124012849126,Emerging Market Economies,Caucasus and Central Asia
