iso3,decile,opex,income,region
AFG,10,15488780.685611416,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,20,6407981.818668275,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,30,6650468.835807439,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,40,5814964.030114984,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,50,6195030.825130524,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,60,5584961.703757888,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,70,5626766.0292454045,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,80,5005490.473177179,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,90,4228316.888213311,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,100,2293054.5664567803,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
ALB,10,1734141.6929989252,Emerging Market Economies,Emerging and Developing Europe
ALB,20,462380.5272508467,Emerging Market Economies,Emerging and Developing Europe
ALB,30,161549.52940212697,Emerging Market Economies,Emerging and Developing Europe
ALB,40,386543.4775971952,Emerging Market Economies,Emerging and Developing Europe
ALB,50,335518.81903169834,Emerging Market Economies,Emerging and Developing Europe
ALB,60,164946.64983248163,Emerging Market Economies,Emerging and Developing Europe
ALB,70,129263.0658371226,Emerging Market Economies,Emerging and Developing Europe
ALB,80,102661.53057849662,Emerging Market Economies,Emerging and Developing Europe
ALB,90,136563.82638944607,Emerging Market Economies,Emerging and Developing Europe
ALB,100,89424.1926582362,Emerging Market Economies,Emerging and Developing Europe
DZA,10,28877478.618249856,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,20,6788399.865866272,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,30,4699890.408224832,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
