iso3,decile,cost,income,region
AFG,10,0.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,20,0.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,30,0.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,40,0.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,50,0.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,60,0.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,70,0.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,80,0.0,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,90,68304977.25354785,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
AFG,100,121115954.17145652,Low Income Developing Countries,"Middle East, North Africa, Afghanistan, and Pakistan"
ALB,10,0.0,Emerging Market Economies,Emerging and Developing Europe
ALB,20,0.0,Emerging Market Economies,Emerging and Developing Europe
ALB,30,0.0,Emerging Market Economies,Emerging and Developing Europe
ALB,40,0.0,Emerging Market Economies,Emerging and Developing Europe
ALB,50,0.0,Emerging Market Economies,Emerging and Developing Europe
ALB,60,0.0,Emerging Market Economies,Emerging and Developing Europe
ALB,70,0.0,Emerging Market Economies,Emerging and Developing Europe
ALB,80,0.0,Emerging Market Economies,Emerging and Developing Europe
ALB,90,0.0,Emerging Market Economies,Emerging and Developing Europe
ALB,100,2244796.1851175404,Emerging Market Economies,Emerging and Developing Europe
DZA,10,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,20,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,30,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,40,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,50,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,60,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,70,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,80,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,90,67868284.66234465,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
DZA,100,1239987386.0568862,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
AGO,10,0.0,Emerging Market Economies,Sub-Sahara Africa
AGO,20,58188837.323566936,Emerging Market Economies,Sub-Sahara Africa
AGO,30,54949062.48638743,Emerging Market Economies,Sub-Sahara Africa
AGO,40,49351782.79658003,Emerging Market Economies,Sub-Sahara Africa
AGO,50,57651395.35860477,Emerging Market Economies,Sub-Sahara Africa
AGO,60,71037372.61002289,Emerging Market Economies,Sub-Sahara Africa
AGO,70,80840875.94961815,Emerging Market Economies,Sub-Sahara Africa
AGO,80,93249201.52915724,Emerging Market Economies,Sub-Sahara Africa
AGO,90,112119596.12683794,Emerging Market Economies,Sub-Sahara Africa
AGO,100,205082984.8083818,Emerging Market Economies,Sub-Sahara Africa
ARG,10,0.0,Emerging Market Economies,Latin America and the Caribbean
ARG,20,0.0,Emerging Market Economies,Latin America and the Caribbean
ARG,30,0.0,Emerging Market Economies,Latin America and the Caribbean
ARG,40,0.0,Emerging Market Economies,Latin America and the Caribbean
ARG,50,0.0,Emerging Market Economies,Latin America and the Caribbean
ARG,60,0.0,Emerging Market Economies,Latin America and the Caribbean
ARG,70,0.0,Emerging Market Economies,Latin America and the Caribbean
ARG,80,270434767.08068895,Emerging Market Economies,Latin America and the Caribbean
ARG,90,237542982.97809786,Emerging Market Economies,Latin America and the Caribbean
ARG,100,455449519.32703644,Emerging Market Economies,Latin America and the Caribbean
ARM,10,0.0,Emerging Market Economies,Caucasus and Central Asia
ARM,20,0.0,Emerging Market Economies,Caucasus and Central Asia
ARM,30,0.0,Emerging Market Economies,Caucasus and Central Asia
ARM,40,0.0,Emerging Market Economies,Caucasus and Central Asia
ARM,50,0.0,Emerging Market Economies,Caucasus and Central Asia
ARM,60,0.0,Emerging Market Economies,Caucasus and Central Asia
ARM,70,0.0,Emerging Market Economies,Caucasus and Central Asia
ARM,80,0.0,Emerging Market Economies,Caucasus and Central Asia
ARM,90,0.0,Emerging Market Economies,Caucasus and Central Asia
ARM,100,0.0,Emerging Market Economies,Caucasus and Central Asia
AUS,10,0.0,Advanced Economies,Advanced Economies
AUS,20,0.0,Advanced Economies,Advanced Economies
AUS,30,0.0,Advanced Economies,Advanced Economies
AUS,40,0.0,Advanced Economies,Advanced Economies
AUS,50,0.0,Advanced Economies,Advanced Economies
AUS,60,0.0,Advanced Economies,Advanced Economies
AUS,70,105830209.0641166,Advanced Economies,Advanced Economies
AUS,80,245019106.22899172,Advanced Economies,Advanced Economies
AUS,90,580502387.0508347,Advanced Economies,Advanced Economies
AUS,100,3047308819.2371902,Advanced Economies,Advanced Economies
AUT,10,32660289.671525866,Advanced Economies,Advanced Economies
AUT,20,10202424.312878707,Advanced Economies,Advanced Economies
AUT,30,9331380.289707348,Advanced Economies,Advanced Economies
AUT,40,7112851.5081456825,Advanced Economies,Advanced Economies
AUT,50,8121064.879707999,Advanced Economies,Advanced Economies
AUT,60,7365616.332211878,Advanced Economies,Advanced Economies
AUT,70,6395360.178024996,Advanced Economies,Advanced Economies
AUT,80,7645089.843588655,Advanced Economies,Advanced Economies
AUT,90,8003373.065464146,Advanced Economies,Advanced Economies
AUT,100,12800858.24578912,Advanced Economies,Advanced Economies
AZE,10,24196260.873165675,Emerging Market Economies,Caucasus and Central Asia
AZE,20,11626734.444861405,Emerging Market Economies,Caucasus and Central Asia
AZE,30,14831758.295835702,Emerging Market Economies,Caucasus and Central Asia
AZE,40,11094634.764333332,Emerging Market Economies,Caucasus and Central Asia
AZE,50,10176080.214470653,Emerging Market Economies,Caucasus and Central Asia
AZE,60,11842239.832616083,Emerging Market Economies,Caucasus and Central Asia
AZE,70,13049611.08700697,Emerging Market Economies,Caucasus and Central Asia
AZE,80,11326293.14791549,Emerging Market Economies,Caucasus and Central Asia
AZE,90,9469913.964044096,Emerging Market Economies,Caucasus and Central Asia
AZE,100,7358040.752534695,Emerging Market Economies,Caucasus and Central Asia
BHR,10,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,20,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,30,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,40,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,50,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,60,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,70,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,80,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,90,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BHR,100,0.0,Emerging Market Economies,"Middle East, North Africa, Afghanistan, and Pakistan"
BGD,10,0.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,20,0.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,30,0.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,40,0.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,50,0.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,60,0.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,70,0.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,80,0.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,90,0.0,Low Income Developing Countries,Emerging and Developing Asia
BGD,100,74277626.7177745,Low Income Developing Countries,Emerging and Developing Asia
BRB,10,564489.8469530614,Emerging Market Economies,Latin America and the Caribbean
BRB,20,409445.7424416495,Emerging Market Economies,Latin America and the Caribbean
BRB,30,217147.6137377458,Emerging Market Economies,Latin America and the Caribbean
BRB,40,314400.44885924726,Emerging Market Economies,Latin America and the Caribbean
BRB,50,153934.68763655177,Emerging Market Economies,Latin America and the Caribbean
BRB,60,184595.2497515997,Emerging Market Economies,Latin America and the Caribbean
BRB,70,105878.71884786666,Emerging Market Economies,Latin America and the Caribbean
BRB,80,95305.91698913905,Emerging Market Economies,Latin America and the Caribbean
BRB,90,96277.38874856773,Emerging Market Economies,Latin America and the Caribbean
BRB,100,119959.55463104046,Emerging Market Economies,Latin America and the Caribbean
BLR,10,58244614.72079131,Emerging Market Economies,Emerging and Developing Europe
BLR,20,22659013.982156917,Emerging Market Economies,Emerging and Developing Europe
BLR,30,13398083.6893208,Emerging Market Economies,Emerging and Developing Europe
BLR,40,11850193.194714753,Emerging Market Economies,Emerging and Developing Europe
BLR,50,12575765.294986352,Emerging Market Economies,Emerging and Developing Europe
BLR,60,11840993.210349517,Emerging Market Economies,Emerging and Developing Europe
BLR,70,9574117.062755411,Emerging Market Economies,Emerging and Developing Europe
BLR,80,12128646.05483589,Emerging Market Economies,Emerging and Developing Europe
