"","Category","model","value"
"1","ICT Skills/Content","ITU",40
"2","Policy/Regulation","ITU",6
"3","Remote Coverage","ITU",70
"4","Mobile Infra Opex","ITU",140
"5","Metro+Backbone Fiber","ITU",70
"6","Mobile Infra Capex","ITU",104
"7","ICT Skills/Content","DICE",39.781549305756
"8","Policy/Regulation","DICE",5.706369777465
"9","Remote Coverage","DICE",68.5373780760067
"10","Mobile Infra Opex","DICE",132.900750385939
"11","Metro+Backbone Fiber","DICE",64.354926600115
"12","Mobile Infra Capex","DICE",110.478679434734
