"","income_group","region","decile","value"
"1","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","1",9.469741
"2","Emerging Market Economies","Emerging and Developing Europe","1",1.326086
"3","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",18.583179
"4","Emerging Market Economies","Sub-Sahara Africa","1",22.367436
"5","Emerging Market Economies","Latin America and the Caribbean","1",24.210939
"6","Emerging Market Economies","Caucasus and Central Asia","1",0.998494
"7","Advanced Economies","Advanced Economies","1",4.486595
"8","Advanced Economies","Advanced Economies","1",4.361121
"9","Emerging Market Economies","Caucasus and Central Asia","1",3.362731
"10","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",0.624938
"11","Low Income Developing Countries","Emerging and Developing Asia","1",17.750065
"12","Emerging Market Economies","Latin America and the Caribbean","1",0.082748
"13","Emerging Market Economies","Emerging and Developing Europe","1",5.369484
"14","Advanced Economies","Advanced Economies","1",3.47238
"15","Emerging Market Economies","Latin America and the Caribbean","1",0.12964
"16","Low Income Developing Countries","Sub-Sahara Africa","1",3.033395
"17","Low Income Developing Countries","Emerging and Developing Asia","1",0.256276
"18","Emerging Market Economies","Latin America and the Caribbean","1",6.799358
"19","Emerging Market Economies","Emerging and Developing Europe","1",0.515776
"20","Emerging Market Economies","Sub-Sahara Africa","1",0.172465
"21","Emerging Market Economies","Latin America and the Caribbean","1",118.027198
"22","Emerging Market Economies","Emerging and Developing Asia","1",0.173492
"23","Emerging Market Economies","Emerging and Developing Europe","1",3.62913
"24","Low Income Developing Countries","Sub-Sahara Africa","1",7.82769
"25","Low Income Developing Countries","Sub-Sahara Africa","1",1.14619
"26","Emerging Market Economies","Sub-Sahara Africa","1",0.181703
"27","Low Income Developing Countries","Emerging and Developing Asia","1",4.225797
"28","Low Income Developing Countries","Sub-Sahara Africa","1",9.246476
"29","Advanced Economies","Advanced Economies","1",24.684716
"30","Low Income Developing Countries","Sub-Sahara Africa","1",2.761039
"31","Emerging Market Economies","Latin America and the Caribbean","1",10.850575
"32","Emerging Market Economies","Emerging and Developing Asia","1",400.588832
"33","Emerging Market Economies","Latin America and the Caribbean","1",36.371184
"34","Low Income Developing Countries","Sub-Sahara Africa","1",17.335627
"35","Low Income Developing Countries","Sub-Sahara Africa","1",1.678342
"36","Emerging Market Economies","Latin America and the Caribbean","1",0.74254
"37","Low Income Developing Countries","Sub-Sahara Africa","1",8.088529
"38","Emerging Market Economies","Emerging and Developing Europe","1",2.03871
"39","Advanced Economies","Advanced Economies","1",0.050949
"40","Advanced Economies","Advanced Economies","1",0.631322
"41","Advanced Economies","Advanced Economies","1",1.107002
"42","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","1",0.611426
"43","Emerging Market Economies","Latin America and the Caribbean","1",0.021141
"44","Emerging Market Economies","Latin America and the Caribbean","1",6.145736
"45","Emerging Market Economies","Latin America and the Caribbean","1",8.699167
"46","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",10.161433
"47","Emerging Market Economies","Latin America and the Caribbean","1",2.404057
"48","Advanced Economies","Advanced Economies","1",0.722164
"49","Emerging Market Economies","Sub-Sahara Africa","1",0.19504
"50","Low Income Developing Countries","Sub-Sahara Africa","1",14.878015
"51","Emerging Market Economies","Emerging and Developing Asia","1",0.5477
"52","Advanced Economies","Advanced Economies","1",1.714496
"53","Advanced Economies","Advanced Economies","1",17.82229
"54","Emerging Market Economies","Sub-Sahara Africa","1",1.803923
"55","Low Income Developing Countries","Sub-Sahara Africa","1",1.199498
"56","Emerging Market Economies","Caucasus and Central Asia","1",1.827898
"57","Advanced Economies","Advanced Economies","1",18.187323
"58","Low Income Developing Countries","Sub-Sahara Africa","1",12.056723
"59","Advanced Economies","Advanced Economies","1",5.589793
"60","Emerging Market Economies","Latin America and the Caribbean","1",0.032531
"61","Emerging Market Economies","Latin America and the Caribbean","1",3.063142
"62","Low Income Developing Countries","Sub-Sahara Africa","1",3.47275
"63","Emerging Market Economies","Latin America and the Caribbean","1",0.235434
"64","Low Income Developing Countries","Latin America and the Caribbean","1",4.312172
"65","Low Income Developing Countries","Latin America and the Caribbean","1",4.15723
"66","Advanced Economies","Advanced Economies","1",1.100391
"67","Emerging Market Economies","Emerging and Developing Europe","1",3.899933
"68","Advanced Economies","Advanced Economies","1",0.270359
"69","Emerging Market Economies","Emerging and Developing Asia","1",295.949858
"70","Emerging Market Economies","Emerging and Developing Asia","1",58.847708
"71","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",23.872849
"72","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",13.540495
"73","Advanced Economies","Advanced Economies","1",1.900576
"74","Advanced Economies","Advanced Economies","1",1.448695
"75","Advanced Economies","Advanced Economies","1",15.143868
"76","Emerging Market Economies","Latin America and the Caribbean","1",0.647081
"77","Advanced Economies","Advanced Economies","1",48.220422
"78","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",2.686757
"79","Emerging Market Economies","Caucasus and Central Asia","1",9.060938
"80","Low Income Developing Countries","Sub-Sahara Africa","1",7.399561
"81","Advanced Economies","Advanced Economies","1",8.704883
"82","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",0.660539
"83","Low Income Developing Countries","Caucasus and Central Asia","1",2.100972
"84","Low Income Developing Countries","Emerging and Developing Asia","1",1.598788
"85","Advanced Economies","Advanced Economies","1",1.31021
"86","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",3.475434
"87","Low Income Developing Countries","Sub-Sahara Africa","1",0.279175
"88","Low Income Developing Countries","Sub-Sahara Africa","1",1.729405
"89","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",2.259132
"90","Advanced Economies","Advanced Economies","1",1.185875
"91","Advanced Economies","Advanced Economies","1",0.351102
"92","Low Income Developing Countries","Sub-Sahara Africa","1",7.318883
"93","Low Income Developing Countries","Sub-Sahara Africa","1",3.063833
"94","Emerging Market Economies","Emerging and Developing Asia","1",13.423124
"95","Low Income Developing Countries","Sub-Sahara Africa","1",7.621397
"96","Advanced Economies","Advanced Economies","1",0.075884
"97","Emerging Market Economies","Sub-Sahara Africa","1",0.473335
"98","Emerging Market Economies","Latin America and the Caribbean","1",66.286226
"99","Low Income Developing Countries","Emerging and Developing Europe","1",0.979975
"100","Emerging Market Economies","Emerging and Developing Asia","1",2.374455
"101","Emerging Market Economies","Emerging and Developing Europe","1",0.033282
"102","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",6.938387
"103","Low Income Developing Countries","Sub-Sahara Africa","1",7.926455
"104","Low Income Developing Countries","Emerging and Developing Asia","1",10.881383
"105","Emerging Market Economies","Sub-Sahara Africa","1",0.5245
