"","income_group","region","decile","value"
"1","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","1",0.011403
"2","Emerging Market Economies","Emerging and Developing Europe","1",0.00257
"3","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",0.009482
"4","Emerging Market Economies","Sub-Sahara Africa","1",0.026553
"5","Emerging Market Economies","Latin America and the Caribbean","1",0.019927
"6","Emerging Market Economies","Caucasus and Central Asia","1",0.000283
"7","Advanced Economies","Advanced Economies","1",0.001699
"8","Advanced Economies","Advanced Economies","1",0.003761
"9","Emerging Market Economies","Caucasus and Central Asia","1",0.002665
"10","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",3.2e-05
"11","Low Income Developing Countries","Emerging and Developing Asia","1",0.000605
"12","Emerging Market Economies","Latin America and the Caribbean","1",4.1e-05
"13","Emerging Market Economies","Emerging and Developing Europe","1",0.023743
"14","Advanced Economies","Advanced Economies","1",0.00264
"15","Emerging Market Economies","Latin America and the Caribbean","1",0.003275
"16","Low Income Developing Countries","Sub-Sahara Africa","1",0.00115
"17","Low Income Developing Countries","Emerging and Developing Asia","1",0.000974
"18","Emerging Market Economies","Latin America and the Caribbean","1",0.018304
"19","Emerging Market Economies","Emerging and Developing Europe","1",0.001769
"20","Emerging Market Economies","Sub-Sahara Africa","1",0.000163
"21","Emerging Market Economies","Latin America and the Caribbean","1",0.105443
"22","Emerging Market Economies","Emerging and Developing Asia","1",0.000162
"23","Emerging Market Economies","Emerging and Developing Europe","1",0.012003
"24","Low Income Developing Countries","Sub-Sahara Africa","1",0.028015
"25","Low Income Developing Countries","Sub-Sahara Africa","1",3e-04
"26","Emerging Market Economies","Sub-Sahara Africa","1",0.000122
"27","Low Income Developing Countries","Emerging and Developing Asia","1",0.00296
"28","Low Income Developing Countries","Sub-Sahara Africa","1",0.006824
"29","Advanced Economies","Advanced Economies","1",0.021721
"30","Low Income Developing Countries","Sub-Sahara Africa","1",0.012306
"31","Emerging Market Economies","Latin America and the Caribbean","1",0.017416
"32","Emerging Market Economies","Emerging and Developing Asia","1",0.151164
"33","Emerging Market Economies","Latin America and the Caribbean","1",0.030288
"34","Low Income Developing Countries","Sub-Sahara Africa","1",0.00412
"35","Low Income Developing Countries","Sub-Sahara Africa","1",0.009668
"36","Emerging Market Economies","Latin America and the Caribbean","1",0.000186
"37","Low Income Developing Countries","Sub-Sahara Africa","1",0.018249
"38","Emerging Market Economies","Emerging and Developing Europe","1",0.003294
"39","Advanced Economies","Advanced Economies","1",0.000204
"40","Advanced Economies","Advanced Economies","1",0.00017
"41","Advanced Economies","Advanced Economies","1",0.000256
"42","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","1",0.000776
"43","Emerging Market Economies","Latin America and the Caribbean","1",5.6e-05
"44","Emerging Market Economies","Latin America and the Caribbean","1",0.002145
"45","Emerging Market Economies","Latin America and the Caribbean","1",0.015341
"46","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",2e-04
"47","Emerging Market Economies","Latin America and the Caribbean","1",0.000911
"48","Advanced Economies","Advanced Economies","1",0.00065
"49","Emerging Market Economies","Sub-Sahara Africa","1",0.000288
"50","Low Income Developing Countries","Sub-Sahara Africa","1",0.01865
"51","Emerging Market Economies","Emerging and Developing Asia","1",0.003235
"52","Advanced Economies","Advanced Economies","1",0.009491
"53","Advanced Economies","Advanced Economies","1",0.020392
"54","Emerging Market Economies","Sub-Sahara Africa","1",0.01652
"55","Low Income Developing Countries","Sub-Sahara Africa","1",0.00045
"56","Emerging Market Economies","Caucasus and Central Asia","1",0.003616
"57","Advanced Economies","Advanced Economies","1",0.007648
"58","Low Income Developing Countries","Sub-Sahara Africa","1",0.005708
"59","Advanced Economies","Advanced Economies","1",0.022707
"60","Emerging Market Economies","Latin America and the Caribbean","1",7.4e-05
"61","Emerging Market Economies","Latin America and the Caribbean","1",0.000697
"62","Low Income Developing Countries","Sub-Sahara Africa","1",0.007853
"63","Emerging Market Economies","Latin America and the Caribbean","1",0.000191
"64","Low Income Developing Countries","Latin America and the Caribbean","1",0.00133
"65","Low Income Developing Countries","Latin America and the Caribbean","1",0.008198
"66","Advanced Economies","Advanced Economies","1",2.1e-05
"67","Emerging Market Economies","Emerging and Developing Europe","1",0.008095
"68","Advanced Economies","Advanced Economies","1",0.001192
"69","Emerging Market Economies","Emerging and Developing Asia","1",0.141755
"70","Emerging Market Economies","Emerging and Developing Asia","1",0.008393
"71","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",0.038102
"72","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",0.009006
"73","Advanced Economies","Advanced Economies","1",0.003576
"74","Advanced Economies","Advanced Economies","1",0.000177
"75","Advanced Economies","Advanced Economies","1",0.01507
"76","Emerging Market Economies","Latin America and the Caribbean","1",0.00045
"77","Advanced Economies","Advanced Economies","1",0.007258
"78","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",0.000794
"79","Emerging Market Economies","Caucasus and Central Asia","1",0.069198
"80","Low Income Developing Countries","Sub-Sahara Africa","1",0.001563
"81","Advanced Economies","Advanced Economies","1",0.000499
"82","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",5.5e-05
"83","Low Income Developing Countries","Caucasus and Central Asia","1",0.006453
"84","Low Income Developing Countries","Emerging and Developing Asia","1",0.006559
"85","Advanced Economies","Advanced Economies","1",0.007693
"86","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",0.000243
"87","Low Income Developing Countries","Sub-Sahara Africa","1",0.001992
"88","Low Income Developing Countries","Sub-Sahara Africa","1",0.002491
"89","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",0.007351
"90","Advanced Economies","Advanced Economies","1",0.005646
"91","Advanced Economies","Advanced Economies","1",0.000488
"92","Low Income Developing Countries","Sub-Sahara Africa","1",0.041855
"93","Low Income Developing Countries","Sub-Sahara Africa","1",0.001182
"94","Emerging Market Economies","Emerging and Developing Asia","1",0.00575
"95","Low Income Developing Countries","Sub-Sahara Africa","1",0.038369
"96","Advanced Economies","Advanced Economies","1",1e-05
"97","Emerging Market Economies","Sub-Sahara Africa","1",0.000241
"98","Emerging Market Economies","Latin America and the Caribbean","1",0.038912
"99","Low Income Developing Countries","Emerging and Developing Europe","1",0.001588
"100","Emerging Market Economies","Emerging and Developing Asia","1",0.047868
"101","Emerging Market Economies","Emerging and Developing Europe","1",0.00018
"102","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",0.002162
"103","Low Income Developing Countries","Sub-Sahara Africa","1",0.028799
"104","Low Income Developing Countries","Emerging and Developing Asia","1",0.017314
"105","Emerging Market Economies","Sub-Sahara Africa","1",0.000369
"106","Low Income Developing Countries","Emerging and Developing Asia","1",0.018993
"107","Advanced Economies","Advanced Economies","1",0.001866
"108","Advanced Economies","Advanced Economies","1",0.006149
"109","Low Income Developing Countries","Latin America and the Caribbean","1",0.001356
"110","Low Income Developing Countries","Sub-Sahara Africa","1",0.01099
"111","Low Income Developing Countries","Sub-Sahara Africa","1",0.005937
"112","Advanced Economies","Advanced Economies","1",0.006253
"113","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",0.001662
"114","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",0.024612
"115","Emerging Market Economies","Latin America and the Caribbean","1",0.006086
"116","Low Income Developing Countries","Emerging and Developing Asia","1",0.003019
"117","Emerging Market Economies","Latin America and the Caribbean","1",0.002044
"118","Emerging Market Economies","Latin America and the Caribbean","1",0.050049
"119","Emerging Market Economies","Emerging and Developing Asia","1",0.010078
"120","Emerging Market Economies","Emerging and Developing Europe","1",0.00493
"121","Advanced Economies","Advanced Economies","1",0.002996
"122","Advanced Economies","Advanced Economies","1",0.000641
"123","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",0.000217
"124","Emerging Market Economies","Emerging and Developing Europe","1",0.018179
"125","Emerging Market Economies","Emerging and Developing Europe","1",0.02934
"126","Low Income Developing Countries","Sub-Sahara Africa","1",0.000728
"127","Emerging Market Economies","Emerging and Developing Asia","1",0.000166
"128","Advanced Economies","Advanced Economies","1",1e-05
"129","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",0.153563
"130","Low Income Developing Countries","Sub-Sahara Africa","1",0.002113
"131","Emerging Market Economies","Emerging and Developing Europe","1",0.00403
"132","Emerging Market Economies","Sub-Sahara Africa","1",5e-06
"133","Low Income Developing Countries","Sub-Sahara Africa","1",0.000711
"134","Advanced Economies","Advanced Economies","1",0.000103
"135","Advanced Economies","Advanced Economies","1",0.000515
"136","Advanced Economies","Advanced Economies","1",0.001377
"137","Low Income Developing Countries","Emerging and Developing Asia","1",0.000155
"138","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","1",0.031449
"139","Emerging Market Economies","Sub-Sahara Africa","1",0.018091
"140","Low Income Developing Countries","Sub-Sahara Africa","1",0.041332
"141","Advanced Economies","Advanced Economies","1",0.029192
"142","Emerging Market Economies","Emerging and Developing Asia","1",0.001526
"143","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","1",0.016135
"144","Emerging Market Economies","Latin America and the Caribbean","1",4.7e-05
"145","Advanced Economies","Advanced Economies","1",0.004597
