"","ISO3","income_group","region","decile","pop"
"1","AFG","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","1",9469741
"2","ALB","Emerging Market Economies","Emerging and Developing Europe","1",1326086
"3","DZA","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",18583179
"4","AGO","Emerging Market Economies","Sub-Sahara Africa","1",22367436
"5","ARG","Emerging Market Economies","Latin America and the Caribbean","1",24210939
"6","ARM","Emerging Market Economies","Caucasus and Central Asia","1",998494
"7","AUS","Advanced Economies","Advanced Economies","1",4486595
"8","AUT","Advanced Economies","Advanced Economies","1",4361121
"9","AZE","Emerging Market Economies","Caucasus and Central Asia","1",3362731
"10","BHR","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",624938
"11","BGD","Low Income Developing Countries","Emerging and Developing Asia","1",17750065
"12","BRB","Emerging Market Economies","Latin America and the Caribbean","1",82748
"13","BLR","Emerging Market Economies","Emerging and Developing Europe","1",5369484
"14","BEL","Advanced Economies","Advanced Economies","1",3472380
"15","BLZ","Emerging Market Economies","Latin America and the Caribbean","1",129640
"16","BEN","Low Income Developing Countries","Sub-Sahara Africa","1",3033395
"17","BTN","Low Income Developing Countries","Emerging and Developing Asia","1",256276
"18","BOL","Emerging Market Economies","Latin America and the Caribbean","1",6799358
"19","BIH","Emerging Market Economies","Emerging and Developing Europe","1",515776
"20","BWA","Emerging Market Economies","Sub-Sahara Africa","1",172465
"21","BRA","Emerging Market Economies","Latin America and the Caribbean","1",118027198
"22","BRN","Emerging Market Economies","Emerging and Developing Asia","1",173492
"23","BGR","Emerging Market Economies","Emerging and Developing Europe","1",3629130
"24","BFA","Low Income Developing Countries","Sub-Sahara Africa","1",7827690
"25","BDI","Low Income Developing Countries","Sub-Sahara Africa","1",1146190
"26","CPV","Emerging Market Economies","Sub-Sahara Africa","1",181703
"27","KHM","Low Income Developing Countries","Emerging and Developing Asia","1",4225797
"28","CMR","Low Income Developing Countries","Sub-Sahara Africa","1",9246476
"29","CAN","Advanced Economies","Advanced Economies","1",24684716
"30","TCD","Low Income Developing Countries","Sub-Sahara Africa","1",2761039
"31","CHL","Emerging Market Economies","Latin America and the Caribbean","1",10850575
"32","CHN","Emerging Market Economies","Emerging and Developing Asia","1",400588832
"33","COL","Emerging Market Economies","Latin America and the Caribbean","1",36371184
"34","COD","Low Income Developing Countries","Sub-Sahara Africa","1",17335627
"35","COG","Low Income Developing Countries","Sub-Sahara Africa","1",1678342
"36","CRI","Emerging Market Economies","Latin America and the Caribbean","1",742540
"37","CIV","Low Income Developing Countries","Sub-Sahara Africa","1",8088529
"38","HRV","Emerging Market Economies","Emerging and Developing Europe","1",2038710
"39","CYP","Advanced Economies","Advanced Economies","1",50949
"40","CZE","Advanced Economies","Advanced Economies","1",631322
"41","DNK","Advanced Economies","Advanced Economies","1",1107002
"42","DJI","Low Income Developing Countries","Middle East, North Africa, Afghanistan, and Pakistan","1",611426
"43","DMA","Emerging Market Economies","Latin America and the Caribbean","1",21141
"44","DOM","Emerging Market Economies","Latin America and the Caribbean","1",6145736
"45","ECU","Emerging Market Economies","Latin America and the Caribbean","1",8699167
"46","EGY","Emerging Market Economies","Middle East, North Africa, Afghanistan, and Pakistan","1",10161433
