"","Region","type","decile","value"
"1","Caucasus and Central Asia","Mobile Infra Capex","D1",0.00693723636743016
"2","Caucasus and Central Asia","Mobile Infra Capex","D10",0.167175203218474
"3","Caucasus and Central Asia","Mobile Infra Capex","D2",0.0501749168656799
"4","Caucasus and Central Asia","Mobile Infra Capex","D3",0.135471300844086
"5","Caucasus and Central Asia","Mobile Infra Capex","D4",0.0385458738588619
"6","Caucasus and Central Asia","Mobile Infra Capex","D5",0.190166745254597
"7","Caucasus and Central Asia","Mobile Infra Capex","D6",0.0505520618802691
"8","Caucasus and Central Asia","Mobile Infra Capex","D7",0.309248567837539
"9","Caucasus and Central Asia","Mobile Infra Capex","D8",0.147370251592543
"10","Caucasus and Central Asia","Mobile Infra Capex","D9",0.258159398829154
"11","Caucasus and Central Asia","Metro+Backbone Fiber","D1",0.0081751137174123
"12","Caucasus and Central Asia","Metro+Backbone Fiber","D10",0.11417444004312
"13","Caucasus and Central Asia","Metro+Backbone Fiber","D2",0.0591281065561546
"14","Caucasus and Central Asia","Metro+Backbone Fiber","D3",0.100289468889251
"15","Caucasus and Central Asia","Metro+Backbone Fiber","D4",0.0423256058975224
"16","Caucasus and Central Asia","Metro+Backbone Fiber","D5",0.106728572159626
"17","Caucasus and Central Asia","Metro+Backbone Fiber","D6",0.0715174919475842
"18","Caucasus and Central Asia","Metro+Backbone Fiber","D7",0.222178468224505
"19","Caucasus and Central Asia","Metro+Backbone Fiber","D8",0.11930595956369
"20","Caucasus and Central Asia","Metro+Backbone Fiber","D9",0.161264159235091
"21","Caucasus and Central Asia","Mobile Infra Opex","D1",0.00834517504692617
"22","Caucasus and Central Asia","Mobile Infra Opex","D10",0.20110405073028
"23","Caucasus and Central Asia","Mobile Infra Opex","D2",0.0603581083347428
"24","Caucasus and Central Asia","Mobile Infra Opex","D3",0.162965719992829
"25","Caucasus and Central Asia","Mobile Infra Opex","D4",0.0463689065287102
"26","Caucasus and Central Asia","Mobile Infra Opex","D5",0.228761814244151
"27","Caucasus and Central Asia","Mobile Infra Opex","D6",0.0608117963739162
